雇主类型,数量,浏览总数,排名
金融类,279,0,1
电子类,219,0,2
互联网类,209,0,3
公务部门,114,0,4
研究所,105,0,5
制造类,90,0,6
通信类,90,0,7
管理类,84,0,8
生物医药类,54,0,9
教育类,47,0,10
