雇主类型,数量,浏览总数,排名
互联网类,237,184104,1
管理类,68,57981,2
教育类,73,56457,3
研究所,49,40640,4
金融类,41,31363,5
电子类,36,31297,6
公务部门,23,17203,7
通信类,13,11928,8
生物医药类,14,11437,9
制造类,14,10496,10
