招聘主题,用人单位,发布日期,浏览次数
攀枝花学院2022年高层次人才招聘简章,北京磐石活水信息科技有限公司,2022-01-09,58
行业分析师,爱集微咨询（厦门）有限公司,2022-01-09,30
编辑,爱集微咨询（厦门）有限公司,2022-01-09,29
HR助理,爱集微咨询（厦门）有限公司,2022-01-09,31
射频工程师,广州司南技术有限公司,2022-01-08,31
结构工程师,广州司南技术有限公司,2022-01-08,29
商务专员,思必驰科技股份有限公司,2022-01-07,278
解决方案工程师,思必驰科技股份有限公司,2022-01-07,247
技术支持工程师,思必驰科技股份有限公司,2022-01-07,250
嵌入式软件工程师,思必驰科技股份有限公司,2022-01-07,251
硬件研发工程师,思必驰科技股份有限公司,2022-01-07,251
Android开发工程师,思必驰科技股份有限公司,2022-01-07,248
前端开发工程师,思必驰科技股份有限公司,2022-01-07,246
Java开发工程师,思必驰科技股份有限公司,2022-01-07,244
C/C++研发工程师,思必驰科技股份有限公司,2022-01-07,244
计算机视觉算法工程师,思必驰科技股份有限公司,2022-01-07,246
Java开发工程师,北京航天光华电子技术有限公司,2022-01-07,248
NLP算法工程师,思必驰科技股份有限公司,2022-01-07,245
语音算法工程师,思必驰科技股份有限公司,2022-01-07,244
工艺工程师,北京航天光华电子技术有限公司,2022-01-07,268
工艺研究、工艺工程师,北京航天光华电子技术有限公司,2022-01-07,273
研发设计师-硕士（结构设计、机电控制、嵌入式开发方向）,北京航天光华电子技术有限公司,2022-01-07,240
电子技术研发工程师,陕西航天时代导航设备有限公司,2022-01-07,244
信号处理工程师,思必驰科技股份有限公司,2022-01-07,243
招博士/副研究员年薪45万+/深圳职业技术学院,深圳职业技术学院,2022-01-07,242
会计,陕西航天时代导航设备有限公司,2022-01-07,238
软件工程师,陕西航天时代导航设备有限公司,2022-01-07,43
联合培养博士后/年薪30万+/国内知名大学和深职院联合培养,深圳职业技术学院,2022-01-07,42
副研究员/研究员/年薪45万+,深圳职业技术学院,2022-01-07,42
机械工程师,陕西航天时代导航设备有限公司,2022-01-07,41
产品工艺师,上海航天电子有限公司,2022-01-07,42
射频工程师,上海航天电子有限公司,2022-01-07,38
嵌入式软件工程师,上海航天电子有限公司,2022-01-07,43
硬件工程师,上海航天电子有限公司,2022-01-07,36
测试工程师,上海航天电子有限公司,2022-01-07,46
通信工程师（MAC层）,北京环佳通信技术有限公司,2022-01-07,17
通信工程师（网络层）,北京环佳通信技术有限公司,2022-01-07,17
FPGA工程师,北京环佳通信技术有限公司,2022-01-07,17
硬件工程师,北京环佳通信技术有限公司,2022-01-07,19
软件开发工程师,北京环佳通信技术有限公司,2022-01-07,15
客户专员,爱集微咨询（厦门）有限公司,2022-01-07,16
嵌入式硬件工程师,广州通达汽车电气股份有限公司,2022-01-07,16
有线工程师,北京环佳通信技术有限公司,2022-01-07,16
无线工程师,北京环佳通信技术有限公司,2022-01-07,16
网安工程师,北京环佳通信技术有限公司,2022-01-07,16
视频工程师,北京环佳通信技术有限公司,2022-01-07,16
强弱电工程师,北京环佳通信技术有限公司,2022-01-07,16
外场技术工程师,北京环佳通信技术有限公司,2022-01-07,16
生产调试技术工程师,北京环佳通信技术有限公司,2022-01-07,16
测试工程师,北京环佳通信技术有限公司,2022-01-07,16
嵌入式软件工程师,广州通达汽车电气股份有限公司,2022-01-07,16
linux驱动开发工程师,广州通达汽车电气股份有限公司,2022-01-07,16
管理培训生,广州通达汽车电气股份有限公司,2022-01-07,18
OS驱动开发工程师,深圳开鸿数字产业发展有限公司,2022-01-06,40
OS内核开发工程师,深圳开鸿数字产业发展有限公司,2022-01-06,36
测试工程师,深圳开鸿数字产业发展有限公司,2022-01-06,40
JAVA工程师,深圳开鸿数字产业发展有限公司,2022-01-06,38
OS应用开发工程师,深圳开鸿数字产业发展有限公司,2022-01-06,38
OS架构开发工程师,深圳开鸿数字产业发展有限公司,2022-01-06,35
芯片测试工程师,青岛联众芯云科技有限公司,2022-01-06,64
模拟芯片工程师,青岛联众芯云科技有限公司,2022-01-06,74
数字芯片工程师,青岛联众芯云科技有限公司,2022-01-06,67
江苏新日电动车2022届管培类,江苏新日电动车股份有限公司,2022-01-06,63
江苏新日电动车2022届职能支持类储训生,江苏新日电动车股份有限公司,2022-01-06,62
江苏新日电动车2022届市场营销类储训生,江苏新日电动车股份有限公司,2022-01-06,63
江苏新日电动车2022届生产工程类储训生,江苏新日电动车股份有限公司,2022-01-06,59
江苏新日电动车2022届研发技术类储训生,江苏新日电动车股份有限公司,2022-01-06,58
电子元器件测试技术,中国航天科技集团有限公司第九研究院第七七一研究所,2022-01-06,112
半导体工艺工程师,中国航天科技集团有限公司第九研究院第七七一研究所,2022-01-06,71
模拟集成电路设计工程师,中国航天科技集团有限公司第九研究院第七七一研究所,2022-01-06,65
先进封装产品工程师,中国航天科技集团有限公司第九研究院第七七一研究所,2022-01-06,67
微系统封装布线/架构设计,中国航天科技集团有限公司第九研究院第七七一研究所,2022-01-06,64
电源设计,中国航天科技集团有限公司第九研究院第七七一研究所,2022-01-06,68
软件设计,中国航天科技集团有限公司第九研究院第七七一研究所,2022-01-06,65
集成电路设计,中国航天科技集团有限公司第九研究院第七七一研究所,2022-01-06,59
硬件设计,中国航天科技集团有限公司第九研究院第七七一研究所,2022-01-06,60
证券交易员,西安天勤汇理私募基金管理有限公司,2022-01-06,48
研发技术,桂林航天电子有限公司,2022-01-06,49
销售和服务专家,中国电信股份有限公司宁夏分公司,2022-01-05,57
政企行业应用专家,中国电信股份有限公司宁夏分公司,2022-01-05,55
网络安全专家,中国电信股份有限公司宁夏分公司,2022-01-05,56
5G和IT技术专家,中国电信股份有限公司宁夏分公司,2022-01-05,49
云计算领军人才,中国电信股份有限公司宁夏分公司,2022-01-05,47
大数据和AI领军人才,中国电信股份有限公司宁夏分公司,2022-01-05,44
航天13所2022年校园招聘,北京航天控制仪器研究所,2022-01-05,57
集成电路设计,北京时代民芯科技有限公司,2022-01-05,51
产品经理,中国联合网络通信有限公司中山市分公司,2022-01-05,48
人力资源专员,中国联合网络通信有限公司中山市分公司,2022-01-05,47
5G项目支撑岗,中国联合网络通信有限公司中山市分公司,2022-01-05,52
互联网营销策划,中国联合网络通信有限公司中山市分公司,2022-01-05,47
开发工程师,中国联合网络通信有限公司中山市分公司,2022-01-05,43
网络维护与管理,中国联合网络通信有限公司中山市分公司,2022-01-05,42
创新客户经理,中国联合网络通信有限公司中山市分公司,2022-01-05,42
创新业务支撑,中国联合网络通信有限公司中山市分公司,2022-01-05,41
硬件电路设计/FPGA软件开发/测试试验岗/系统论证总体设计,重庆航天火箭电子技术有限公司,2022-01-05,909
天线及射频微波设计/基带算法设计/导航算法设计/图像算法设计,重庆航天火箭电子技术有限公司,2022-01-05,72
市场开发,重庆航天火箭电子技术有限公司,2022-01-05,57
靶机、靶弹设计,重庆航天火箭电子技术有限公司,2022-01-05,60
机加工艺设计,重庆航天火箭电子技术有限公司,2022-01-05,59
无人机培训中心专业技术人员,重庆航天火箭电子技术有限公司,2022-01-05,62
发动机测试工程师,重庆航天火箭电子技术有限公司,2022-01-05,51
工程师,西安航天精密机电研究所,2022-01-05,55
2022届设备技术类储备生,内蒙古中环协鑫光伏材料有限公司,2022-01-05,39
研发运维工程师(DevOps),上海阿卡思微电子技术有限公司,2022-01-05,39
机场安检,首航云服河北航空服务有限公司,2022-01-05,38
地勤人员,首航云服河北航空服务有限公司,2022-01-05,36
机场公安辅警,首航云服河北航空服务有限公司,2022-01-05,36
机场安检护卫员,首航云服河北航空服务有限公司,2022-01-05,34
产品工程师（Product Engineer）,上海阿卡思微电子技术有限公司,2022-01-05,37
C++软件工程师（C++ Software Engineer）,上海阿卡思微电子技术有限公司,2022-01-05,37
EDA软件开发工程师(EDA Software Developer),上海阿卡思微电子技术有限公司,2022-01-05,37
校园星探,浙江菜鸟传橙网络技术有限公司,2022-01-05,38
模具类,海固科技（苏州）有限公司,2022-01-04,75
工艺工程类,海固科技（苏州）有限公司,2022-01-04,70
销售类,海固科技（苏州）有限公司,2022-01-04,77
研发类,海固科技（苏州）有限公司,2022-01-04,67
系统测试,北京航天时代激光导航技术有限责任公司,2022-01-04,56
电路设计,北京航天时代激光导航技术有限责任公司,2022-01-04,69
总体设计,北京航天时代激光导航技术有限责任公司,2022-01-04,64
研发工程师,航天时代飞鸿技术有限公司,2022-01-04,67
器件研发工程师,济南量子技术研究院,2022-01-04,67
SPICE模型研发工程师,济南量子技术研究院,2022-01-04,67
测试分析研发工程师,济南量子技术研究院,2022-01-04,72
工艺研发工程师,济南量子技术研究院,2022-01-04,67
芯片助理工程师,济南量子技术研究院,2022-01-04,64
芯片生产技术员,济南量子技术研究院,2022-01-04,61
技术管理岗,福建泉建研工程研究院有限公司,2022-01-04,63
研发序列/营销序列/技术序列,烟台东方威思顿电气有限公司,2022-01-04,66
软件设计,北京航天时代激光导航技术有限责任公司,2022-01-04,63
金融科技研究员,鹏华基金管理有限公司,2022-01-04,35
金融科技工程师,鹏华基金管理有限公司,2022-01-04,36
金融科技部寒假实习生,鹏华基金管理有限公司,2022-01-04,34
特聘副研究员/研究员/博士后,深圳职业技术学院,2022-01-04,48
中国外运华中有限公司OSH“雁翔·青葵2022”项目校园招聘,中国外运华中有限公司,2022-01-04,35
机械结构设计师,三江瓦力特特种车辆有限公司,2022-01-02,448
测控开发设计师,武汉三江航天远方科技有限公司,2022-01-02,176
测控开发设计师,武汉三江航天远方科技有限公司,2022-01-02,172
技术工程师,武汉锐晶激光芯片技术有限公司,2022-01-02,156
网络安全管理员,湖北航天技术研究院计量测试技术研究所,2022-01-02,162
营销工程师,武汉锐晶激光芯片技术有限公司,2022-01-02,151
电子元器件技术员,湖北航天技术研究院计量测试技术研究所,2022-01-02,165
无人驾驶电气系统设计师,航天重型工程装备有限公司,2022-01-02,146
光学类,武汉光谷航天三江激光产业技术研究院有限公司,2022-01-02,162
激光/光电子技术工程师,武汉锐晶激光芯片技术有限公司,2022-01-02,156
融媒体记者,湖北航天工业学校,2022-01-02,145
产品工程师,武汉锐晶激光芯片技术有限公司,2022-01-02,147
情报研究,湖北航天工业学校,2022-01-02,148
英语翻译,湖北航天工业学校,2022-01-02,145
技能培训干事,湖北航天工业学校,2022-01-02,146
信息化工程师,湖北航天工业学校,2022-01-02,142
情报研究,湖北航天工业学校,2022-01-02,140
设计研发,湖北三江航天红阳机电有限公司,2022-01-02,159
行政管理,武汉锐晶激光芯片技术有限公司,2022-01-02,139
某高校科学教研岗,陕西智领人力资源有限公司,2022-01-02,34
遥测设计师,航天科工火箭技术有限公司,2022-01-01,147
机械结构设计,湖北三江航天江北机械工程有限公司,2022-01-01,117
软件设计师,航天科工火箭技术有限公司,2022-01-01,111
设计师（智慧产业方向）,武汉三江航天网络通信有限公司,2022-01-01,115
设计师（信息安全方向）,武汉三江航天网络通信有限公司,2022-01-01,116
管理信息化产品软件设计师 （数据方向）,武汉三江航天网络通信有限公司,2022-01-01,111
管理信息化产品软件设计师 （计算机/软件方向）,武汉三江航天网络通信有限公司,2022-01-01,111
网络安全产品软件设计师,武汉三江航天网络通信有限公司,2022-01-01,113
运维工程师,武汉三江航天网络通信有限公司,2022-01-01,116
设计师、主管设计师,武汉睿芯特种光纤有限责任公司,2022-01-01,115
技术创新管理,湖北三江航天万峰科技发展有限公司,2022-01-01,119
机械工艺工程师,湖北三江航天万峰科技发展有限公司,2022-01-01,116
电气工艺工程师,湖北三江航天万峰科技发展有限公司,2022-01-01,116
工业设计工程师,湖北三江航天万峰科技发展有限公司,2022-01-01,113
结构设计工程师,湖北三江航天万峰科技发展有限公司,2022-01-01,110
电气设计工程师,湖北三江航天万峰科技发展有限公司,2022-01-01,110
电源设计工程师,湖北三江航天万峰科技发展有限公司,2022-01-01,119
光学设计工程师,湖北三江航天万峰科技发展有限公司,2022-01-01,118
FPGA开发工程师,湖北三江航天万峰科技发展有限公司,2022-01-01,122
硬件研发工程师,湖北三江航天万峰科技发展有限公司,2022-01-01,123
软件开发工程师,湖北三江航天万峰科技发展有限公司,2022-01-01,119
控制综合设计师,航天科工火箭技术有限公司,2022-01-01,114
导引头软硬件设计师,湖北航天飞行器研究所,2022-01-01,111
电讯设计师,湖北三江航天险峰电子信息有限公司,2022-01-01,102
指挥信息系统总体设计岗,北京航天晨信科技有限责任公司,2022-01-01,98
数据开发与信息系统设计岗,北京机电工程总体设计部,2021-12-31,120
人工智能设计岗,北京机电工程总体设计部,2021-12-31,111
通信系统设计岗,北京机电工程总体设计部,2021-12-31,116
雷达总体设计岗,北京机电工程总体设计部,2021-12-31,117
其他科研设计岗,北京机电工程总体设计部,2021-12-31,114
电路设计工程师,天津光电通信技术有限公司,2021-12-31,111
软件开发工程师,天津光电通信技术有限公司,2021-12-31,108
算法工程师,天津光电通信技术有限公司,2021-12-31,111
应用软件开发工程师-C\C++\C#,天津光电通信技术有限公司,2021-12-31,114
web前端工程师,天津光电通信技术有限公司,2021-12-31,105
Java开发工程师,天津光电通信技术有限公司,2021-12-31,100
硬件工程师,天津光电通信技术有限公司,2021-12-31,108
结构设计工程师,天津光电通信技术有限公司,2021-12-31,105
FPGA工程师,天津光电通信技术有限公司,2021-12-31,100
嵌入式软件工程师,天津光电通信技术有限公司,2021-12-31,101
详见职位详情,南京晨光集团有限责任公司,2021-12-31,112
硬件工程师,北京凸显科技有限公司,2021-12-31,91
工艺技术,西安航天动力机械有限公司,2021-12-31,153
电学专利工程师,北京龙双利达知识产权代理有限公司西安分公司,2021-12-31,93
专利工程师,北京龙双利达知识产权代理有限公司西安分公司,2021-12-31,90
电学专利工程师,北京龙双利达知识产权代理有限公司西安分公司,2021-12-31,87
软硬件运维工程师,航天行云科技有限公司,2021-12-30,161
测控技术岗,西安航天化学动力有限公司,2021-12-30,178
测控技术岗,西安航天化学动力有限公司,2021-12-30,152
智能技术,西安航天复合材料研究所,2021-12-30,153
测控技术岗,西安航天化学动力有限公司,2021-12-30,142
机械工程师,西安航天化学动力有限公司,2021-12-30,152
机械设计师,西安航天化学动力有限公司,2021-12-30,138
机械设计师,西安航天化学动力有限公司,2021-12-30,136
技术员,陕西宇航科技工业有限公司,2021-12-30,143
技术员,陕西宇航科技工业有限公司,2021-12-30,131
导航设计工程师,陕西中天火箭技术股份有限公司,2021-12-30,151
伺服控制工程师,陕西中天火箭技术股份有限公司,2021-12-30,146
嵌入式软件工程师,陕西中天火箭技术股份有限公司,2021-12-30,140
嵌入式硬件工程师,陕西中天火箭技术股份有限公司,2021-12-30,147
国际市场营销,陕西中天火箭技术股份有限公司,2021-12-30,136
会计,西安航天动力测控技术研究所,2021-12-30,145
电机设计,西安航天动力测控技术研究所,2021-12-30,138
智能制造工程师,西安航天化学动力有限公司,2021-12-30,143
信息化工程师,西安航天化学动力有限公司,2021-12-30,140
测试控制、,西安航天动力测控技术研究所,2021-12-30,131
智能制造工程师,西安航天化学动力有限公司,2021-12-30,150
信息化工程师,西安航天化学动力有限公司,2021-12-30,146
设计师,西安航天动力技术研究所,2021-12-30,126
设计师,西安航天动力技术研究所,2021-12-30,166
设计师,西安航天动力技术研究所,2021-12-30,125
设计师,西安航天动力技术研究所,2021-12-30,127
文案策划,河南海利未来科技集团有限公司,2021-12-30,115
社群运营,河南海利未来科技集团有限公司,2021-12-30,114
设计师,西安航天动力技术研究所,2021-12-30,127
仿真工程师,郑州爱科科技有限公司,2021-12-30,116
软件工程师,郑州爱科科技有限公司,2021-12-30,114
研发,陕西电器研究所（航天四院四十四所））,2021-12-30,127
初级前端工程师,魔方医药科技（苏州）有限公司,2021-12-30,116
大数据平台工程师,魔方医药科技（苏州）有限公司,2021-12-30,113
初级测试工程师,魔方医药科技（苏州）有限公司,2021-12-30,111
UI设计师,魔方医药科技（苏州）有限公司,2021-12-30,118
Java初级工程师,魔方医药科技（苏州）有限公司,2021-12-30,111
初级爬虫工程师,魔方医药科技（苏州）有限公司,2021-12-30,112
测试工程师,才立方,2021-12-30,112
设计师,西安航天动力技术研究所,2021-12-30,115
硬件工程师,深圳市沃特沃德股份有限公司,2021-12-30,85
硬件测试工程师,深圳市沃特沃德股份有限公司,2021-12-30,85
结构工程师,深圳市沃特沃德股份有限公司,2021-12-30,85
嵌入式软件工程师,深圳市沃特沃德股份有限公司,2021-12-30,80
安卓开发工程师,深圳市沃特沃德股份有限公司,2021-12-30,83
采购助理,深圳市沃特沃德股份有限公司,2021-12-30,84
商务助理,深圳市沃特沃德股份有限公司,2021-12-30,85
海外销售助理,深圳市沃特沃德股份有限公司,2021-12-30,85
软件测试工程师,深圳市沃特沃德股份有限公司,2021-12-30,80
基带信号处理开发工程师（FPGA）,航天行云科技有限公司,2021-12-30,126
销售顾问,上海仪准电子科技有限公司,2021-12-30,85
后台开发工程师,航天行云科技有限公司,2021-12-30,117
网络安全工程师,航天行云科技有限公司,2021-12-30,114
软件测试开发工程师,航天行云科技有限公司,2021-12-30,118
大客户主管,航天行云科技有限公司,2021-12-30,105
业务实施顾问,才立方,2021-12-29,194
临床技术支持岗,深圳北芯生命科技股份有限公司,2021-12-29,113
销售管理培训生,深圳北芯生命科技股份有限公司,2021-12-29,106
临床工程师,深圳北芯生命科技股份有限公司,2021-12-29,107
导管研发工程师 （结构方向）,深圳北芯生命科技股份有限公司,2021-12-29,107
系统测试工程师,深圳北芯生命科技股份有限公司,2021-12-29,115
FPGA工程师,深圳北芯生命科技股份有限公司,2021-12-29,112
硬件工程师,深圳北芯生命科技股份有限公司,2021-12-29,116
应用软件工程师(C++),深圳北芯生命科技股份有限公司,2021-12-29,113
人力资源管理,风神轮胎股份有限公司,2021-12-29,174
IT工程师,风神轮胎股份有限公司,2021-12-29,162
IT工程师,风神轮胎股份有限公司,2021-12-29,154
产品研发工程师,贵州振华群英电器有限公司（国营第八九一厂）,2021-12-29,173
工艺质量管理,风神轮胎股份有限公司,2021-12-29,148
校园招聘HR,上海链家房地产经纪有限公司,2021-12-29,164
产品研发,风神轮胎股份有限公司,2021-12-29,145
产品研发,风神轮胎股份有限公司,2021-12-29,140
车间主任助理,深圳振华富电子有限公司,2021-12-29,161
IC设计工程师,深圳振华富电子有限公司,2021-12-29,150
微波元件工程师,深圳振华富电子有限公司,2021-12-29,160
IC设计工程师,贵州振华风光半导体股份有限公司,2021-12-29,162
技术支持工程师,贵州振华风光半导体股份有限公司,2021-12-29,164
工艺工程师,贵州振华风光半导体股份有限公司,2021-12-29,151
IC测试工程师,贵州振华风光半导体股份有限公司,2021-12-29,167
数字IC设计工程师,贵州振华风光半导体股份有限公司,2021-12-29,194
模拟IC设计工程师,贵州振华风光半导体股份有限公司,2021-12-29,170
软件开发工程师,中国振华集团永光电子有限公司（国营第八七三厂）,2021-12-29,158
销售员,贵州振华华联电子有限公司,2021-12-29,147
产品检测工程师,中国振华集团永光电子有限公司（国营第八七三厂）,2021-12-29,164
陈华,贵州振华华联电子有限公司,2021-12-29,132
产品应用工程师,中国振华集团永光电子有限公司（国营第八七三厂）,2021-12-29,150
人力资源管理专员,贵州振华华联电子有限公司,2021-12-29,132
工艺工程师,贵州振华华联电子有限公司,2021-12-29,136
工艺工程师,中国振华集团永光电子有限公司（国营第八七三厂）,2021-12-29,146
电子开关研发工程师,贵州振华华联电子有限公司,2021-12-29,132
产品研发设计工程师,中国振华集团永光电子有限公司（国营第八七三厂）,2021-12-29,155
电子组件研发工程师,贵州振华华联电子有限公司,2021-12-29,134
产品研发设计工程师,中国振华集团永光电子有限公司（国营第八七三厂）,2021-12-29,134
材料研发工程师,中国振华集团云科电子有限公司,2021-12-29,128
工艺工程师,深圳市振华微电子有限公司,2021-12-29,129
测试工程师,成都华微科技有限公司,2021-12-29,191
产品设计师,中国振华电子集团宇光电工有限公司（国营第七七一厂）,2021-12-29,124
项目研发员,中国振华电子集团宇光电工有限公司（国营第七七一厂）,2021-12-29,129
电子工程技术员,中国振华电子集团宇光电工有限公司（国营第七七一厂）,2021-12-29,141
研发工程师,东莞市振华新能源科技有限公司,2021-12-29,126
微波电路设计师,中国振华集团云科电子有限公司,2021-12-29,123
研发工程师,深圳市振华微电子有限公司,2021-12-29,168
产品技术员,中国振华（集团）新云电子元器件有限责任公司（国营第四三二六厂）,2021-12-29,127
2022校招-软件研发岗,鸿合科技股份有限公司,2021-12-29,111
2022校招-技术开发岗,鸿合科技股份有限公司,2021-12-29,120
设备管理,风神轮胎股份有限公司,2021-12-29,115
2022校招-职能市场类,鸿合科技股份有限公司,2021-12-29,114
技术研发岗,深圳麦克韦尔科技有限公司,2021-12-29,117
工艺工程师,贵州振华群英电器有限公司（国营第八九一厂）,2021-12-29,128
人力资源管理,风神轮胎股份有限公司,2021-12-29,113
集团办公室工作人员,四川现代教育集团,2021-12-29,74
集团财务部工作人员,四川现代教育集团,2021-12-29,76
集团人力资源管理专员,四川现代教育集团,2021-12-29,78
航天行云（航天科工四院卫星总体单位）2022年度校园招聘,航天行云科技有限公司,2021-12-29,120
专利案件流程员,北京市创世宏景专利商标代理有限责任公司,2021-12-29,78
董事会秘书,四川现代教育集团,2021-12-29,78
集团后勤部工作人员,四川现代教育集团,2021-12-29,75
新媒体运营,河南海利未来科技集团有限公司,2021-12-29,76
核电工程师,国核示范电站有限责任公司,2021-12-28,115
专利工程师,广州德科知识产权代理有限公司西安分公司,2021-12-27,146
机械工程师,安徽巨一科技股份有限公司,2021-12-27,163
上位机软件工程师,安徽巨一科技股份有限公司,2021-12-27,148
销售工程师,特法尔（北京）科技有限公司,2021-12-27,121
产品工程师,深圳市安保科技有限公司,2021-12-27,157
整机工艺工程师,深圳市安保科技有限公司,2021-12-27,128
算法工程师(杭州、武汉),华芯巨数（杭州）微电子有限公司,2021-12-27,126
软件开发工程师（杭州、武汉）,华芯巨数（杭州）微电子有限公司,2021-12-27,128
软件测试工程师(杭州、武汉),华芯巨数（杭州）微电子有限公司,2021-12-27,122
产品应用工程师(杭州、武汉）,华芯巨数（杭州）微电子有限公司,2021-12-27,128
测试工程师,深圳市安保科技有限公司,2021-12-27,126
机械开发工程师,杰克缝纫机股份有限公司,2021-12-24,221
控制软件工程师,杰克缝纫机股份有限公司,2021-12-24,206
硬件工程师,杰克缝纫机股份有限公司,2021-12-24,202
应用软件工程师,杰克缝纫机股份有限公司,2021-12-24,198
电机结构工程师,杰克缝纫机股份有限公司,2021-12-24,198
测试工程师,杰克缝纫机股份有限公司,2021-12-24,191
国内营销类,杰克缝纫机股份有限公司,2021-12-24,189
海外营销专员,杰克缝纫机股份有限公司,2021-12-24,189
售后服务/客户服务,杰克缝纫机股份有限公司,2021-12-24,184
生产管理储备,杰克缝纫机股份有限公司,2021-12-24,198
财务会计,杰克缝纫机股份有限公司,2021-12-24,187
人力资源专员,杰克缝纫机股份有限公司,2021-12-24,191
信息化管理岗,中国市政工程西南设计研究总院有限公司,2021-12-24,177
事业单位工作人员,胶州市人力资源和社会保障局,2021-12-24,183
营销岗,长鹰信质科技股份有限公司,2021-12-24,175
研发岗,长鹰信质科技股份有限公司,2021-12-24,169
项目岗,长鹰信质科技股份有限公司,2021-12-24,168
质量岗,长鹰信质科技股份有限公司,2021-12-24,168
宇通校园猎头,郑州宇通集团有限公司,2021-12-24,182
机械专利工程师,西安贵谦知识产权代理有限公司,2021-12-24,122
电学/通信领域专利工程师,西安贵谦知识产权代理有限公司,2021-12-24,128
研发工程师,南京汉隆科技有限公司,2021-12-24,116
嵌入式软件工程师,湖南北云科技有限公司,2021-12-24,120
高级专利工程师,西安贵谦知识产权代理有限公司,2021-12-24,113
测试工程师,南京汉隆科技有限公司,2021-12-24,117
渠道销售总监,深圳市巨博华投资有限公司,2021-12-23,168
技术岗/职能岗,广州地铁设计研究院股份有限公司,2021-12-23,171
生产研发工程师,浙江黎明智造股份有限公司,2021-12-23,162
质量工程师,浙江黎明智造股份有限公司,2021-12-23,154
量化系统开发工程师,深圳市巨博华投资有限公司,2021-12-23,161
渠道销售经理,深圳市巨博华投资有限公司,2021-12-23,163
量化系统开发工程师,深圳市巨博华投资有限公司,2021-12-23,153
模具设计工程师,浙江黎明智造股份有限公司,2021-12-23,152
电气自动化工程师,浙江黎明智造股份有限公司,2021-12-23,151
软件工程师,浙江黎明智造股份有限公司,2021-12-23,162
量化系统开发工程师,深圳市巨博华投资有限公司,2021-12-23,152
项目工程师,浙江黎明智造股份有限公司,2021-12-23,158
生产管理,浙江黎明智造股份有限公司,2021-12-23,160
量化研究员/行业研究员/高级开发,深圳市影子投资管理有限公司,2021-12-23,156
自动化工程师,海澜智云科技有限公司,2021-12-22,173
电仪工程师,海澜智云科技有限公司,2021-12-22,159
化工工程师,海澜智云科技有限公司,2021-12-22,157
短视频编导,旷世传声传媒科技有限责任公司,2021-12-22,153
光学工程师,深圳市矽赫科技有限公司,2021-12-22,163
机械工程师,深圳市大族光电设备有限公司,2021-12-22,151
射频工程师,广东宽普科技有限公司,2021-12-22,150
节能项目经理,海澜智云科技有限公司,2021-12-22,172
阳光电源2022届全球校园招聘秋招补录,阳光电源股份有限公司,2021-12-22,204
美资企业-猎头实习生（招聘方向）,讯升（上海）人力资源有限公司成都分公司,2021-12-22,154
硬件工程师,深圳市矽赫科技有限公司,2021-12-22,154
生产专训生,滦州伊利乳业有限责任公司,2021-12-22,160
电气工程师,深圳市大族光电设备有限公司,2021-12-22,147
香港科技大学数据建模硕士学位项目（MSc DDM）1月宣讲会（线上+线下）通知,南京途善久文化传播有限公司,2021-12-22,174
毫米波雷达算法工程师(上海/常州）,德心智能科技（常州）有限公司,2021-12-22,158
雷达信号处理工程师（上海/常州）,德心智能科技（常州）有限公司,2021-12-22,159
工艺工程师,深圳市大族光电设备有限公司,2021-12-22,163
多益网络2022届校园招聘补录,多益网络有限公司,2021-12-22,188
美丽中国支教项目老师（研后空宣）,北京立德未来助学公益基金会,2021-12-21,189
技术/销售工程师,北京爱万提斯科技有限公司,2021-12-21,165
机械及车辆工程专利代理人及助理,北京英创嘉友知识产权代理事务所（普通合伙）,2021-12-21,145
研究员,兴业经济研究咨询股份有限公司,2021-12-21,170
电气师,中国电建集团青海省电力设计院有限公司,2021-12-21,165
电子及通讯工程专利代理人及助理,北京英创嘉友知识产权代理事务所（普通合伙）,2021-12-21,153
材料化工类专利代理人及助理,北京英创嘉友知识产权代理事务所（普通合伙）,2021-12-21,143
商标代理人助理,北京英创嘉友知识产权代理事务所（普通合伙）,2021-12-21,148
机械设计类,北京半导体专用设备研究所（中国电子科技集团公司第四十五研究所）,2021-12-21,143
电气设计类,北京半导体专用设备研究所（中国电子科技集团公司第四十五研究所）,2021-12-21,148
软件设计类,北京半导体专用设备研究所（中国电子科技集团公司第四十五研究所）,2021-12-21,145
光学设计类,北京半导体专用设备研究所（中国电子科技集团公司第四十五研究所）,2021-12-21,142
机械助理工程师,深圳市赢合科技股份有限公司,2021-12-21,140
电气助理工程师,深圳市赢合科技股份有限公司,2021-12-21,143
软件助理工程师（开发方向）,深圳市赢合科技股份有限公司,2021-12-21,143
机械工程师,深圳市赢合科技股份有限公司,2021-12-21,146
电气工程师,深圳市赢合科技股份有限公司,2021-12-21,141
图像算法研究员,佳能医疗系统（中国）有限公司,2021-12-21,145
医疗软件工程师,佳能医疗系统（中国）有限公司,2021-12-21,147
软件助理工程师（实施方向）,深圳市赢合科技股份有限公司,2021-12-21,142
软件助理工程师（上位机方向）,深圳市赢合科技股份有限公司,2021-12-21,149
工程师,北京汽车研究总院有限公司,2021-12-21,147
设备工程师,无锡车联天下信息技术有限公司,2021-12-20,176
PS 工程师,无锡车联天下信息技术有限公司,2021-12-20,183
NPI 工程师,无锡车联天下信息技术有限公司,2021-12-20,179
Labview 工程师,无锡车联天下信息技术有限公司,2021-12-20,178
结构工程师,无锡车联天下信息技术有限公司,2021-12-20,179
测试工程师,无锡车联天下信息技术有限公司,2021-12-20,173
